[2026-05-20T06:54:54.778Z] [SyncDiag] FIELD-LOGGER: work_orders row=39a3631a-d41a-462a-bbc5-177e8c90ba35 — 1 fields changed, isInsert=false, vesselId=9d88f081-6e0f-41e5-9bdb-124b9d9cc3b8, instanceId=SHORE-PROD
[2026-05-20T06:54:54.785Z] [SyncDiag] FIELD-LOGGER: work_orders row=043f25e9-9c60-43ef-94da-be848d195b0d — 1 fields changed, isInsert=false, vesselId=9d88f081-6e0f-41e5-9bdb-124b9d9cc3b8, instanceId=SHORE-PROD
[2026-05-20T06:54:54.792Z] [SyncDiag] FIELD-LOGGER: work_orders row=ea4c6b28-adc4-464f-9a44-857f6300e94b — 1 fields changed, isInsert=false, vesselId=9d88f081-6e0f-41e5-9bdb-124b9d9cc3b8, instanceId=SHORE-PROD
[2026-05-20T06:54:54.797Z] [SyncDiag] FIELD-LOGGER: work_orders row=e00beecf-2512-4d0d-a3f6-49ba1c227428 — 1 fields changed, isInsert=false, vesselId=9d88f081-6e0f-41e5-9bdb-124b9d9cc3b8, instanceId=SHORE-PROD
[2026-05-20T06:54:54.804Z] [SyncDiag] FIELD-LOGGER: work_orders row=2257fd02-1fb1-43d0-9f1b-cbeb1d1d2166 — 1 fields changed, isInsert=false, vesselId=9d88f081-6e0f-41e5-9bdb-124b9d9cc3b8, instanceId=SHORE-PROD
[2026-05-20T06:54:54.810Z] [SyncDiag] FIELD-LOGGER: work_orders row=264c65ba-db06-49ff-bfd0-9e5644aa2a53 — 1 fields changed, isInsert=false, vesselId=9d88f081-6e0f-41e5-9bdb-124b9d9cc3b8, instanceId=SHORE-PROD
[2026-05-20T06:54:54.820Z] [SyncDiag] FIELD-LOGGER: work_orders row=88e5a9e7-4cc5-4f3b-9bac-58090d822f15 — 1 fields changed, isInsert=false, vesselId=9d88f081-6e0f-41e5-9bdb-124b9d9cc3b8, instanceId=SHORE-PROD
[2026-05-20T06:54:54.828Z] [SyncDiag] FIELD-LOGGER: work_orders row=deb5df78-ebbe-48db-bdbd-a69db123c40a — 1 fields changed, isInsert=false, vesselId=9d88f081-6e0f-41e5-9bdb-124b9d9cc3b8, instanceId=SHORE-PROD
[2026-05-20T06:54:54.836Z] [SyncDiag] FIELD-LOGGER: work_orders row=f4bccec8-7772-4e81-afaa-00ea713960e8 — 1 fields changed, isInsert=false, vesselId=9d88f081-6e0f-41e5-9bdb-124b9d9cc3b8, instanceId=SHORE-PROD
[2026-05-20T06:54:54.843Z] [SyncDiag] FIELD-LOGGER: work_orders row=ec4eb4cd-25b4-4713-be54-1660b080dd1b — 1 fields changed, isInsert=false, vesselId=9d88f081-6e0f-41e5-9bdb-124b9d9cc3b8, instanceId=SHORE-PROD
[2026-05-20T06:54:54.852Z] [SyncDiag] FIELD-LOGGER: work_orders row=a5cd2475-fef4-417f-b422-723b7f0c8b68 — 1 fields changed, isInsert=false, vesselId=9d88f081-6e0f-41e5-9bdb-124b9d9cc3b8, instanceId=SHORE-PROD
[2026-05-20T06:54:54.858Z] [SyncDiag] FIELD-LOGGER: work_orders row=e6ebabf4-ddca-4d6d-abaa-805dc1c236b7 — 1 fields changed, isInsert=false, vesselId=9d88f081-6e0f-41e5-9bdb-124b9d9cc3b8, instanceId=SHORE-PROD
[2026-05-20T06:54:54.864Z] [SyncDiag] FIELD-LOGGER: work_orders row=d4ada331-05ad-44cc-85f7-1eea3eaab0ef — 1 fields changed, isInsert=false, vesselId=9d88f081-6e0f-41e5-9bdb-124b9d9cc3b8, instanceId=SHORE-PROD
[2026-05-20T06:54:54.871Z] [SyncDiag] FIELD-LOGGER: work_orders row=23c5e976-6186-4656-a8c7-af3888301d6d — 1 fields changed, isInsert=false, vesselId=9d88f081-6e0f-41e5-9bdb-124b9d9cc3b8, instanceId=SHORE-PROD
[2026-05-20T06:54:54.884Z] [SyncDiag] FIELD-LOGGER: work_orders row=4edb07bb-59fa-449f-8a5b-8796135eed03 — 1 fields changed, isInsert=false, vesselId=9d88f081-6e0f-41e5-9bdb-124b9d9cc3b8, instanceId=SHORE-PROD
[2026-05-20T06:54:54.890Z] [SyncDiag] FIELD-LOGGER: work_orders row=579dd8f7-d725-4442-9001-ee15576d9ddf — 1 fields changed, isInsert=false, vesselId=9d88f081-6e0f-41e5-9bdb-124b9d9cc3b8, instanceId=SHORE-PROD
[2026-05-20T06:54:54.900Z] [SyncDiag] FIELD-LOGGER: work_orders row=4d23a493-0969-495d-b7ea-abf4a19e1f46 — 1 fields changed, isInsert=false, vesselId=9d88f081-6e0f-41e5-9bdb-124b9d9cc3b8, instanceId=SHORE-PROD
[2026-05-20T06:54:54.906Z] [SyncDiag] FIELD-LOGGER: work_orders row=ec193886-5ecc-4cfa-bf57-15a40870d868 — 1 fields changed, isInsert=false, vesselId=9d88f081-6e0f-41e5-9bdb-124b9d9cc3b8, instanceId=SHORE-PROD
[2026-05-20T06:54:54.912Z] [SyncDiag] FIELD-LOGGER: work_orders row=25d210d3-6ef7-4aa7-bd00-ca2e055f829b — 1 fields changed, isInsert=false, vesselId=9d88f081-6e0f-41e5-9bdb-124b9d9cc3b8, instanceId=SHORE-PROD
[2026-05-20T06:54:54.919Z] [SyncDiag] FIELD-LOGGER: work_orders row=47faf086-85f8-4139-a2b7-f762e247223c — 1 fields changed, isInsert=false, vesselId=9d88f081-6e0f-41e5-9bdb-124b9d9cc3b8, instanceId=SHORE-PROD
[2026-05-20T06:54:54.925Z] [SyncDiag] FIELD-LOGGER: work_orders row=b15a3282-ef47-4252-be90-b989deb018d1 — 1 fields changed, isInsert=false, vesselId=9d88f081-6e0f-41e5-9bdb-124b9d9cc3b8, instanceId=SHORE-PROD
