Code,,ParentCode,MainGroup,SubGroup
1,SHIP GENERAL,,SHIP GENERAL,
2,HULL,,HULL,
3,EQUIPMENT FOR CARGO,,EQUIPMENT FOR CARGO,
4,SHIP EQUIPMENT,,SHIP EQUIPMENT,
5,EQUIPMENT FOR CREW AND PASSENGERS,,EQUIPMENT FOR CREW AND PASSENGERS,
6,MACHINERY MAIN COMPONENTS,,MACHINERY MAIN COMPONENTS,
7,SYSTEMS FOR MACHINERY MAIN COMPONENTS,,SYSTEMS FOR MACHINERY MAIN COMPONENTS,
8,SHIP COMMON SYSTEMS,,SHIP COMMON SYSTEMS,
10,"SPECIFICATION, ESTIMATING, DRAWING, INSTRUCTION, COURSES",1,SHIP GENERAL,"SPECIFICATION, ESTIMATING, DRAWING, INSTRUCTION, COURSES"
11,"INSURANCE, FEES, CERTIFICATES, REPRESENTATION",1,SHIP GENERAL,"INSURANCE, FEES, CERTIFICATES, REPRESENTATION"
12,"QUALITY ASSURANCE, GENERAL WORK, MODELS",1,SHIP GENERAL,"QUALITY ASSURANCE, GENERAL WORK, MODELS"
13,PROVISIONAL RIGGING,1,SHIP GENERAL,PROVISIONAL RIGGING
14,"WORK ON WAYS, LAUNCHING, DOCKING",1,SHIP GENERAL,"WORK ON WAYS, LAUNCHING, DOCKING"
15,"QUALITY CONTROL, MEASUREMENTS, TESTS, TRIALS",1,SHIP GENERAL,"QUALITY CONTROL, MEASUREMENTS, TESTS, TRIALS"
16,GUARANTEE/MENDING WORK,1,SHIP GENERAL,GUARANTEE/MENDING WORK
17,"SHIP REPAIR, SPECIAL SERVICES",1,SHIP GENERAL,"SHIP REPAIR, SPECIAL SERVICES"
19,CONSUMPTION ARTICLES,1,SHIP GENERAL,CONSUMPTION ARTICLES
20,"HULL MATERIALS, GENERAL HULL WORK",2,HULL,"HULL MATERIALS, GENERAL HULL WORK"
21,AFTERBODY,2,HULL,AFTERBODY
22,ENGINE AREA,2,HULL,ENGINE AREA
23,CARGO AREA - HULL SMALL VESSELS,2,HULL,CARGO AREA - HULL SMALL VESSELS
24,FOREBODY,2,HULL,FOREBODY
25,DECK HOUSES & SUPERSTRUCTURES,2,HULL,DECK HOUSES & SUPERSTRUCTURES
26,HULL OUTFITTING,2,HULL,HULL OUTFITTING
27,"MATERIAL PROTECTION, EXTERNAL",2,HULL,"MATERIAL PROTECTION, EXTERNAL"
28,"MATERIAL PROTECTION, INTERNAL",2,HULL,"MATERIAL PROTECTION, INTERNAL"
29,MISCELLANEOUS HULL WORK (NOT STANDARD),2,HULL,MISCELLANEOUS HULL WORK (NOT STANDARD)
30,"HATCHES, PORTS",3,EQUIPMENT FOR CARGO,"HATCHES, PORTS"
31,EQUIPMENT FOR CARGO IN HOLDS/ON DECK,3,EQUIPMENT FOR CARGO,EQUIPMENT FOR CARGO IN HOLDS/ON DECK
32,SPECIAL CARGO HANDLING EQUIPMENT,3,EQUIPMENT FOR CARGO,SPECIAL CARGO HANDLING EQUIPMENT
33,DECK CRANES FOR CARGO,3,EQUIPMENT FOR CARGO,DECK CRANES FOR CARGO
34,"MASTS, DERRICK POSTS, RIGGING & WINCHES FOR CARGO",3,EQUIPMENT FOR CARGO,"MASTS, DERRICK POSTS, RIGGING & WINCHES FOR CARGO"
40,MANOEUVRING MACHINERY & EQUIPMENT,4,SHIP EQUIPMENT,MANOEUVRING MACHINERY & EQUIPMENT
41,NAVIGATION & SEARCHING EQUIPMENT,4,SHIP EQUIPMENT,NAVIGATION & SEARCHING EQUIPMENT
42,COMMUNICATION EQUIPMENT,4,SHIP EQUIPMENT,COMMUNICATION EQUIPMENT
43,"ANCHORING, MOORING & TOWING EQUIPMENT",4,SHIP EQUIPMENT,"ANCHORING, MOORING & TOWING EQUIPMENT"
44,"REP./MAINT./CLEAN. EQUIP. WORKSHOP/STORE OUTFIT, NAME PLATES",4,SHIP EQUIPMENT,"REP./MAINT./CLEAN. EQUIP. WORKSHOP/STORE OUTFIT, NAME PLATES"
45,LIFTING & TRANSPORT EQUIPMENT FOR MACHINERY COMPONENTS,4,SHIP EQUIPMENT,LIFTING & TRANSPORT EQUIPMENT FOR MACHINERY COMPONENTS
46,HUNTING & FISHING EQUIPMENT,4,SHIP EQUIPMENT,HUNTING & FISHING EQUIPMENT
47,"ARMAMENT, WEAPON & WEAPON COUNTERMEASURES",4,SHIP EQUIPMENT,"ARMAMENT, WEAPON & WEAPON COUNTERMEASURES"
48,SPECIAL EQUIPMENT,4,SHIP EQUIPMENT,SPECIAL EQUIPMENT
49,FISH PROCESSING EQUIPMENT,4,SHIP EQUIPMENT,FISH PROCESSING EQUIPMENT
50,"LIFESAVING, PROTECTION & MEDICAL EQUIPMENT",5,EQUIPMENT FOR CREW AND PASSENGERS,"LIFESAVING, PROTECTION & MEDICAL EQUIPMENT"
51,"INSULATION, PANELS, BULKHEADS, DOORS, SIDESCUTTLES, SKYLIGHTS",5,EQUIPMENT FOR CREW AND PASSENGERS,"INSULATION, PANELS, BULKHEADS, DOORS, SIDESCUTTLES, SKYLIGHTS"
52,"INTERNAL DECK COVERING, LADDERS, STEPS, RAILING",5,EQUIPMENT FOR CREW AND PASSENGERS,"INTERNAL DECK COVERING, LADDERS, STEPS, RAILING"
53,"EXT. DECK COVERING, LADDERS, STEPS, FORE & AFT GANGWAY",5,EQUIPMENT FOR CREW AND PASSENGERS,"EXT. DECK COVERING, LADDERS, STEPS, FORE & AFT GANGWAY"
54,"FURNITURE, INVENTORY, ENTERTAINMENT EQUIPMENT",5,EQUIPMENT FOR CREW AND PASSENGERS,"FURNITURE, INVENTORY, ENTERTAINMENT EQUIPMENT"
55,"GALLEY/PANTRY EQUIP., PROVISION PLANTS, LAUNDRY/IRONING EQU.",5,EQUIPMENT FOR CREW AND PASSENGERS,"GALLEY/PANTRY EQUIP., PROVISION PLANTS, LAUNDRY/IRONING EQU."
56,"TRANSPORT EQUIPMENT FOR CREW, PASSENGERS & PROVISIONS",5,EQUIPMENT FOR CREW AND PASSENGERS,"TRANSPORT EQUIPMENT FOR CREW, PASSENGERS & PROVISIONS"
57,"VENTILATION, AIR-CONDITIONING & HEATING SYSTEMS",5,EQUIPMENT FOR CREW AND PASSENGERS,"VENTILATION, AIR-CONDITIONING & HEATING SYSTEMS"
58,"SANITARY SYST. W/DISCHARGES, ACCOMMODATION DRAIN SYSTEMS",5,EQUIPMENT FOR CREW AND PASSENGERS,"SANITARY SYST. W/DISCHARGES, ACCOMMODATION DRAIN SYSTEMS"
60,DIESEL ENGINES FOR PROPULSION,6,MACHINERY MAIN COMPONENTS,DIESEL ENGINES FOR PROPULSION
61,STEAM MACHINERY FOR PROPULSION,6,MACHINERY MAIN COMPONENTS,STEAM MACHINERY FOR PROPULSION
62,OTHER TYPES OF PROPULSION MACHINERY,6,MACHINERY MAIN COMPONENTS,OTHER TYPES OF PROPULSION MACHINERY
63,"PROPELLERS, TRANSMISSIONS, FOILS",6,MACHINERY MAIN COMPONENTS,"PROPELLERS, TRANSMISSIONS, FOILS"
64,"BOILERS, STEAM & GAS GENERATORS",6,MACHINERY MAIN COMPONENTS,"BOILERS, STEAM & GAS GENERATORS"
65,MOTOR AGGREGATES FOR MAIN ELECTRIC POWER PRODUCTION,6,MACHINERY MAIN COMPONENTS,MOTOR AGGREGATES FOR MAIN ELECTRIC POWER PRODUCTION
66,OTHER AGGR. & GEN. FOR MAIN & EMERGENCY EL. POWER PRODUCTION,6,MACHINERY MAIN COMPONENTS,OTHER AGGR. & GEN. FOR MAIN & EMERGENCY EL. POWER PRODUCTION
67,NUCLEAR REACTOR PLANTS,6,MACHINERY MAIN COMPONENTS,NUCLEAR REACTOR PLANTS
70,FUEL SYSTEMS,7,SYSTEMS FOR MACHINERY MAIN COMPONENTS,FUEL SYSTEMS
71,LUBE OIL SYSTEMS,7,SYSTEMS FOR MACHINERY MAIN COMPONENTS,LUBE OIL SYSTEMS
72,COOLING SYSTEMS,7,SYSTEMS FOR MACHINERY MAIN COMPONENTS,COOLING SYSTEMS
73,COMPRESSED AIR SYSTEMS,7,SYSTEMS FOR MACHINERY MAIN COMPONENTS,COMPRESSED AIR SYSTEMS
74,EXHAUST SYSTEMS & AIR INTAKES,7,SYSTEMS FOR MACHINERY MAIN COMPONENTS,EXHAUST SYSTEMS & AIR INTAKES
75,"STEAM, CONDENSATE & FEED WATER SYSTEMS",7,SYSTEMS FOR MACHINERY MAIN COMPONENTS,"STEAM, CONDENSATE & FEED WATER SYSTEMS"
76,DISTILLED & MAKE-UP WATER SYSTEMS,7,SYSTEMS FOR MACHINERY MAIN COMPONENTS,DISTILLED & MAKE-UP WATER SYSTEMS
79,AUTOMATION SYSTEMS FOR MACHINERY,7,SYSTEMS FOR MACHINERY MAIN COMPONENTS,AUTOMATION SYSTEMS FOR MACHINERY
80,"BALLAST & BILGE SYSTEMS, GUTTER PIPES OUTSIDE ACCOMMOD.",8,SHIP COMMON SYSTEMS,"BALLAST & BILGE SYSTEMS, GUTTER PIPES OUTSIDE ACCOMMOD."
81,"FIRE & LIFEBOAT ALARM, FIRE FIGHTING & WASH DOWN SYSTEMS",8,SHIP COMMON SYSTEMS,"FIRE & LIFEBOAT ALARM, FIRE FIGHTING & WASH DOWN SYSTEMS"
82,AIR & SOUNDING SYSTEMS FROM TANKS TO DECK,8,SHIP COMMON SYSTEMS,AIR & SOUNDING SYSTEMS FROM TANKS TO DECK
83,SPECIAL COMMON HYDRAULIC OIL SYSTEMS,8,SHIP COMMON SYSTEMS,SPECIAL COMMON HYDRAULIC OIL SYSTEMS
84,CENTRAL HEAT TRANSFER SYSTEMS W/CHEMICAL FLUIDS/OIL,8,SHIP COMMON SYSTEMS,CENTRAL HEAT TRANSFER SYSTEMS W/CHEMICAL FLUIDS/OIL
85,COMMON ELECTRIC & ELECTRONIC SYSTEMS,8,SHIP COMMON SYSTEMS,COMMON ELECTRIC & ELECTRONIC SYSTEMS
86,ELECTRIC POWER SUPPLY,8,SHIP COMMON SYSTEMS,ELECTRIC POWER SUPPLY
87,COMMON ELECTRIC DISTRIBUTION SYSTEMS,8,SHIP COMMON SYSTEMS,COMMON ELECTRIC DISTRIBUTION SYSTEMS
88,ELECTRIC CABLE INSTALLATION,8,SHIP COMMON SYSTEMS,ELECTRIC CABLE INSTALLATION
89,ELECTRIC CONSUMER SYSTEMS,8,SHIP COMMON SYSTEMS,ELECTRIC CONSUMER SYSTEMS
101,"CONTRACT/SPECIFIC. WORK, GENERAL DESIGN, MODEL TESTING",10,SHIP GENERAL,"SPECIFICATION, ESTIMATING, DRAWING, INSTRUCTION, COURSES"
101.001,Towing tank tests,10,SHIP GENERAL,"SPECIFICATION, ESTIMATING, DRAWING, INSTRUCTION, COURSES"
101.005,Funnel tests,10,SHIP GENERAL,"SPECIFICATION, ESTIMATING, DRAWING, INSTRUCTION, COURSES"
101.010,Propeller cavitation tests,10,SHIP GENERAL,"SPECIFICATION, ESTIMATING, DRAWING, INSTRUCTION, COURSES"
101.011,Noise measurements/analyses,10,SHIP GENERAL,"SPECIFICATION, ESTIMATING, DRAWING, INSTRUCTION, COURSES"
101.012,Vibration measurements/analyses,10,SHIP GENERAL,"SPECIFICATION, ESTIMATING, DRAWING, INSTRUCTION, COURSES"
101.015,Travel/per diem expenses,10,SHIP GENERAL,"SPECIFICATION, ESTIMATING, DRAWING, INSTRUCTION, COURSES"
101.020,General EDP expenses,10,SHIP GENERAL,"SPECIFICATION, ESTIMATING, DRAWING, INSTRUCTION, COURSES"
102,"DRAWING, ORDERING ETC. WITH REGARD TO HULL",10,SHIP GENERAL,"SPECIFICATION, ESTIMATING, DRAWING, INSTRUCTION, COURSES"
102.001,Hull half models,10,SHIP GENERAL,"SPECIFICATION, ESTIMATING, DRAWING, INSTRUCTION, COURSES"
102.003,"Film, development, copying",10,SHIP GENERAL,"SPECIFICATION, ESTIMATING, DRAWING, INSTRUCTION, COURSES"
102.005,Hull EDP expenses,10,SHIP GENERAL,"SPECIFICATION, ESTIMATING, DRAWING, INSTRUCTION, COURSES"
102.010,Optical drawings,10,SHIP GENERAL,"SPECIFICATION, ESTIMATING, DRAWING, INSTRUCTION, COURSES"
102.020,CAD drawings,10,SHIP GENERAL,"SPECIFICATION, ESTIMATING, DRAWING, INSTRUCTION, COURSES"
103,"DRAWING, ORDERING ETC. W.R.T. EQUIPMENT FOR CARGO",10,SHIP GENERAL,"SPECIFICATION, ESTIMATING, DRAWING, INSTRUCTION, COURSES"
104,"DRAWING, ORDERING ETC. W.R.T. SHIP EQUIPMENT",10,SHIP GENERAL,"SPECIFICATION, ESTIMATING, DRAWING, INSTRUCTION, COURSES"
105,"DRAWING, ORDERING W.R.T. EQUIPMENT FOR CREW & PASSENGERS",10,SHIP GENERAL,"SPECIFICATION, ESTIMATING, DRAWING, INSTRUCTION, COURSES"
106,"DRAWING, ORDERING W.R.T. MACH. COMPONENTS, MACH/SHIP SYSTEMS",10,SHIP GENERAL,"SPECIFICATION, ESTIMATING, DRAWING, INSTRUCTION, COURSES"
106.001,"Film, development, copying",10,SHIP GENERAL,"SPECIFICATION, ESTIMATING, DRAWING, INSTRUCTION, COURSES"
106.020,CAD drawings,10,SHIP GENERAL,"SPECIFICATION, ESTIMATING, DRAWING, INSTRUCTION, COURSES"
107,"ESTIMATING, DRAWING & OFFERS W.R.T. CHANGE ORDERS",10,SHIP GENERAL,"SPECIFICATION, ESTIMATING, DRAWING, INSTRUCTION, COURSES"
108,"PURCHASE/RENTING OF DRAWINGS, PATENTS, LICENCES & CONSULTATI",10,SHIP GENERAL,"SPECIFICATION, ESTIMATING, DRAWING, INSTRUCTION, COURSES"
108.001,Drawing purchases,10,SHIP GENERAL,"SPECIFICATION, ESTIMATING, DRAWING, INSTRUCTION, COURSES"
108.010,Drawing rentals,10,SHIP GENERAL,"SPECIFICATION, ESTIMATING, DRAWING, INSTRUCTION, COURSES"
108.020,General licence/patent fees,10,SHIP GENERAL,"SPECIFICATION, ESTIMATING, DRAWING, INSTRUCTION, COURSES"
108.025,General consultants' fees,10,SHIP GENERAL,"SPECIFICATION, ESTIMATING, DRAWING, INSTRUCTION, COURSES"
108.026,Class newbuilding survey,10,SHIP GENERAL,"SPECIFICATION, ESTIMATING, DRAWING, INSTRUCTION, COURSES"
109,"MAINTENANCE SYSTEMS, INSTRUCTION MATERIAL",10,SHIP GENERAL,"SPECIFICATION, ESTIMATING, DRAWING, INSTRUCTION, COURSES"
109.001,Instruction material,10,SHIP GENERAL,"SPECIFICATION, ESTIMATING, DRAWING, INSTRUCTION, COURSES"
109.005,Maintenance/spare parts systems,10,SHIP GENERAL,"SPECIFICATION, ESTIMATING, DRAWING, INSTRUCTION, COURSES"
109.007,Contingency plans,10,SHIP GENERAL,"SPECIFICATION, ESTIMATING, DRAWING, INSTRUCTION, COURSES"
109.009,Alarm instructions,10,SHIP GENERAL,"SPECIFICATION, ESTIMATING, DRAWING, INSTRUCTION, COURSES"
109.010,Travel/per diem expenses,10,SHIP GENERAL,"INSURANCE, FEES, CERTIFICATES, REPRESENTATION"
109.020,Course instructors' salaries,11,SHIP GENERAL,"INSURANCE, FEES, CERTIFICATES, REPRESENTATION"
111,GENERAL INSURANCE,11,SHIP GENERAL,"INSURANCE, FEES, CERTIFICATES, REPRESENTATION"
111.001,Construction risk insurance,11,SHIP GENERAL,"INSURANCE, FEES, CERTIFICATES, REPRESENTATION"
111.005,Trial trip insurance,11,SHIP GENERAL,"INSURANCE, FEES, CERTIFICATES, REPRESENTATION"
111.010,Delay insurance,11,SHIP GENERAL,"INSURANCE, FEES, CERTIFICATES, REPRESENTATION"
111.015,Guarantee insurance,11,SHIP GENERAL,"INSURANCE, FEES, CERTIFICATES, REPRESENTATION"
111.020,Currency insurance,11,SHIP GENERAL,"INSURANCE, FEES, CERTIFICATES, REPRESENTATION"
111.025,Discount rate insurance,11,SHIP GENERAL,"INSURANCE, FEES, CERTIFICATES, REPRESENTATION"
112,CLASSIFICATION & STATUTORY FEES & CERTIFICATES,11,SHIP GENERAL,"INSURANCE, FEES, CERTIFICATES, REPRESENTATION"
112.001,Classification societies' fees,11,SHIP GENERAL,"INSURANCE, FEES, CERTIFICATES, REPRESENTATION"
112.003,Letter of official registration,11,SHIP GENERAL,"INSURANCE, FEES, CERTIFICATES, REPRESENTATION"
112.005,Ship control,11,SHIP GENERAL,"INSURANCE, FEES, CERTIFICATES, REPRESENTATION"
112.008,Ship registration,11,SHIP GENERAL,"INSURANCE, FEES, CERTIFICATES, REPRESENTATION"
112.009,Safety equipment,11,SHIP GENERAL,"INSURANCE, FEES, CERTIFICATES, REPRESENTATION"
112.010,International tonnage certificates,11,SHIP GENERAL,"INSURANCE, FEES, CERTIFICATES, REPRESENTATION"
112.012,International loadline certificates,11,SHIP GENERAL,"INSURANCE, FEES, CERTIFICATES, REPRESENTATION"
112.015,Panama Canal tonnage certificates,11,SHIP GENERAL,"INSURANCE, FEES, CERTIFICATES, REPRESENTATION"
112.020,Suez Canal tonnage certificates,11,SHIP GENERAL,"INSURANCE, FEES, CERTIFICATES, REPRESENTATION"
112.022,RINA certificates,11,SHIP GENERAL,"INSURANCE, FEES, CERTIFICATES, REPRESENTATION"
112.024,FMC certificates,11,SHIP GENERAL,"INSURANCE, FEES, CERTIFICATES, REPRESENTATION"
112.025,Construction certificates,11,SHIP GENERAL,"INSURANCE, FEES, CERTIFICATES, REPRESENTATION"
112.030,USCG certificates,11,SHIP GENERAL,"INSURANCE, FEES, CERTIFICATES, REPRESENTATION"
112.034,TOVALOP certificates,11,SHIP GENERAL,"INSURANCE, FEES, CERTIFICATES, REPRESENTATION"
112.035,IMO certificates,11,SHIP GENERAL,"INSURANCE, FEES, CERTIFICATES, REPRESENTATION"
112.050,Passenger certificates,11,SHIP GENERAL,"INSURANCE, FEES, CERTIFICATES, REPRESENTATION"
112.052,Car freight certificates,11,SHIP GENERAL,"INSURANCE, FEES, CERTIFICATES, REPRESENTATION"
112.054,Container certificates,11,SHIP GENERAL,"INSURANCE, FEES, CERTIFICATES, REPRESENTATION"
112.056,Chemical tanker certificates,11,SHIP GENERAL,"INSURANCE, FEES, CERTIFICATES, REPRESENTATION"
112.058,Gas tanker certificates,11,SHIP GENERAL,"INSURANCE, FEES, CERTIFICATES, REPRESENTATION"
112.060,Product tanker certificates,11,SHIP GENERAL,"INSURANCE, FEES, CERTIFICATES, REPRESENTATION"
112.062,Oil tanker certificates,11,SHIP GENERAL,"INSURANCE, FEES, CERTIFICATES, REPRESENTATION"
112.064,Oil production/storage certificates,11,SHIP GENERAL,"INSURANCE, FEES, CERTIFICATES, REPRESENTATION"
113,"BUILDING ADVANCE INTEREST, DISCOUNT, FINANCE COSTS",11,SHIP GENERAL,"INSURANCE, FEES, CERTIFICATES, REPRESENTATION"
113.001,Interest expenses,11,SHIP GENERAL,"INSURANCE, FEES, CERTIFICATES, REPRESENTATION"
113.005,Discount rate losses,11,SHIP GENERAL,"INSURANCE, FEES, CERTIFICATES, REPRESENTATION"
113.010,Exchange rate losses,11,SHIP GENERAL,"INSURANCE, FEES, CERTIFICATES, REPRESENTATION"
113.015,Financial costs,11,SHIP GENERAL,"INSURANCE, FEES, CERTIFICATES, REPRESENTATION"
114,CANCELLATION EXPENSES,11,SHIP GENERAL,"INSURANCE, FEES, CERTIFICATES, REPRESENTATION"
114.001,Cancellation expenses,11,SHIP GENERAL,"INSURANCE, FEES, CERTIFICATES, REPRESENTATION"
115,PENALTIES,11,SHIP GENERAL,"INSURANCE, FEES, CERTIFICATES, REPRESENTATION"
115.001,Contract penalties,11,SHIP GENERAL,"INSURANCE, FEES, CERTIFICATES, REPRESENTATION"
116,BROKERS' COMMISSIONS,11,SHIP GENERAL,"INSURANCE, FEES, CERTIFICATES, REPRESENTATION"
116.001,Brokers' commissions,11,SHIP GENERAL,"INSURANCE, FEES, CERTIFICATES, REPRESENTATION"
117,"REPRESENTATION, TRAVELS, CONFERENCES",11,SHIP GENERAL,"INSURANCE, FEES, CERTIFICATES, REPRESENTATION"
117.001,Travel/per diem expenses,11,SHIP GENERAL,"INSURANCE, FEES, CERTIFICATES, REPRESENTATION"
117.010,Premises rental,11,SHIP GENERAL,"INSURANCE, FEES, CERTIFICATES, REPRESENTATION"
117.015,Catering,11,SHIP GENERAL,"INSURANCE, FEES, CERTIFICATES, REPRESENTATION"
117.020,Representation,11,SHIP GENERAL,"INSURANCE, FEES, CERTIFICATES, REPRESENTATION"
118,LAUNCHING & DELIVERY REPRESENTATION,11,SHIP GENERAL,"INSURANCE, FEES, CERTIFICATES, REPRESENTATION"
118.001,Catering,11,SHIP GENERAL,"INSURANCE, FEES, CERTIFICATES, REPRESENTATION"
118.005,Travel/per diem expenses,11,SHIP GENERAL,"INSURANCE, FEES, CERTIFICATES, REPRESENTATION"
118.010,Gifts,11,SHIP GENERAL,"INSURANCE, FEES, CERTIFICATES, REPRESENTATION"
118.015,Entertainment,11,SHIP GENERAL,"INSURANCE, FEES, CERTIFICATES, REPRESENTATION"
118.017,"Film, development, copying",11,SHIP GENERAL,"INSURANCE, FEES, CERTIFICATES, REPRESENTATION"
118.020,Representation,11,SHIP GENERAL,"INSURANCE, FEES, CERTIFICATES, REPRESENTATION"
118.025,Trial trip representation,11,SHIP GENERAL,"QUALITY ASSURANCE, GENERAL WORK, MODELS"
118.030,"Menus, guest lists, printed matter",12,SHIP GENERAL,"QUALITY ASSURANCE, GENERAL WORK, MODELS"
121,"QUALITY ASSURANCE, PLANNING, WORK PREPARATION",12,SHIP GENERAL,"QUALITY ASSURANCE, GENERAL WORK, MODELS"
121.001,EDP expenses,12,SHIP GENERAL,"QUALITY ASSURANCE, GENERAL WORK, MODELS"
121.005,Quality assurance manuals,12,SHIP GENERAL,"QUALITY ASSURANCE, GENERAL WORK, MODELS"
121.010,Progress plans,12,SHIP GENERAL,"QUALITY ASSURANCE, GENERAL WORK, MODELS"
121.015,Work preparation,12,SHIP GENERAL,"QUALITY ASSURANCE, GENERAL WORK, MODELS"
121.020,Work hours/progress control,12,SHIP GENERAL,"QUALITY ASSURANCE, GENERAL WORK, MODELS"
122,"WORK MANAGEMENT, FIRE GUARD, SUPERVISION, WATCH KEEPING",12,SHIP GENERAL,"QUALITY ASSURANCE, GENERAL WORK, MODELS"
122.001,Hull work management,12,SHIP GENERAL,"QUALITY ASSURANCE, GENERAL WORK, MODELS"
122.005,Machinery work management,12,SHIP GENERAL,"QUALITY ASSURANCE, GENERAL WORK, MODELS"
122.010,Pipe work management,12,SHIP GENERAL,"QUALITY ASSURANCE, GENERAL WORK, MODELS"
122.015,Carpenter work management,12,SHIP GENERAL,"QUALITY ASSURANCE, GENERAL WORK, MODELS"
122.020,Work management,12,SHIP GENERAL,"QUALITY ASSURANCE, GENERAL WORK, MODELS"
122.025,Fire guard,12,SHIP GENERAL,"QUALITY ASSURANCE, GENERAL WORK, MODELS"
122.030,Watch keeping,12,SHIP GENERAL,"QUALITY ASSURANCE, GENERAL WORK, MODELS"
123,CLEARING & CLEANING,12,SHIP GENERAL,"QUALITY ASSURANCE, GENERAL WORK, MODELS"
123.001,Cleaning,12,SHIP GENERAL,"QUALITY ASSURANCE, GENERAL WORK, MODELS"
123.005,Engine room cleaning,12,SHIP GENERAL,"QUALITY ASSURANCE, GENERAL WORK, MODELS"
123.010,Accommodation cleaning,12,SHIP GENERAL,"QUALITY ASSURANCE, GENERAL WORK, MODELS"
124,"SNOW CLEARING, DE-ICING",12,SHIP GENERAL,"QUALITY ASSURANCE, GENERAL WORK, MODELS"
125,TRANSPORTATION (EXCL. HULL PARTS),12,SHIP GENERAL,"QUALITY ASSURANCE, GENERAL WORK, MODELS"
125.001,"Freight, minor",12,SHIP GENERAL,"QUALITY ASSURANCE, GENERAL WORK, MODELS"
126,ASSISTANCE WITH OWNER'S SUPPLY,12,SHIP GENERAL,"QUALITY ASSURANCE, GENERAL WORK, MODELS"
126.001,External transport costs,12,SHIP GENERAL,"QUALITY ASSURANCE, GENERAL WORK, MODELS"
127,"MODELS, ALBUMS, PHOTOS",12,SHIP GENERAL,"QUALITY ASSURANCE, GENERAL WORK, MODELS"
127.001,Exhibition models,12,SHIP GENERAL,"QUALITY ASSURANCE, GENERAL WORK, MODELS"
127.005,Arrangement models,12,SHIP GENERAL,"QUALITY ASSURANCE, GENERAL WORK, MODELS"
127.010,Full scale models,12,SHIP GENERAL,"QUALITY ASSURANCE, GENERAL WORK, MODELS"
127.015,Photo albums,12,SHIP GENERAL,PROVISIONAL RIGGING
128,"HEALTH, ENVIRONMENT, SAFETY",13,SHIP GENERAL,PROVISIONAL RIGGING
131,"PROV. GANGWAYS, ROOFS, HATCHES, STAIRS, STAGES FOR HULL EXT.",13,SHIP GENERAL,PROVISIONAL RIGGING
132,"PROV. ROOFS, HATCHES, STAGES F. DECK HOUSES & SUPERSTR. EXT.",13,SHIP GENERAL,PROVISIONAL RIGGING
133,"PROV. HATCHES, LADDERS, STAGES IN CARGO HOLDS/TANKS",13,SHIP GENERAL,PROVISIONAL RIGGING
134,"PROV. HATCHES, LADDERS, STAGES IN ENGINE ROOM & ACCOMMOD.",13,SHIP GENERAL,PROVISIONAL RIGGING
135,"PROV. ELECTRIC POWER, LIGHTING, MACHINERY",13,SHIP GENERAL,PROVISIONAL RIGGING
135.001,Diesel aggregate hire,13,SHIP GENERAL,PROVISIONAL RIGGING
136,"PROV. STEAM, WATER, HEATING & VENTILATION PLANTS",13,SHIP GENERAL,PROVISIONAL RIGGING
137,"PROV. GAS, OXYGEN & COMPRESSED AIR PLANTS",13,SHIP GENERAL,PROVISIONAL RIGGING
138,TARPAULIN RENTALS,13,SHIP GENERAL,PROVISIONAL RIGGING
138.001,Storage tent hire,13,SHIP GENERAL,"WORK ON WAYS, LAUNCHING, DOCKING"
139,PROV. LIFTING & TRANSPORT EQUIPMENT,14,SHIP GENERAL,"WORK ON WAYS, LAUNCHING, DOCKING"
141,"KEEL BLOCKS, PILLARS, CUSHIONS",14,SHIP GENERAL,"WORK ON WAYS, LAUNCHING, DOCKING"
142,"LAUNCHING ARR. W/CRADLE, SUPPORTS, WATER FILLING, PLATFORM",14,SHIP GENERAL,"WORK ON WAYS, LAUNCHING, DOCKING"
143,"CREW, PILOTS, TUGS, CLEARING AT LAUNCHING",14,SHIP GENERAL,"WORK ON WAYS, LAUNCHING, DOCKING"
143.001,Pilot expenses,14,SHIP GENERAL,"WORK ON WAYS, LAUNCHING, DOCKING"
143.005,Tug hire,14,SHIP GENERAL,"WORK ON WAYS, LAUNCHING, DOCKING"
143.010,Diver assistance,14,SHIP GENERAL,"WORK ON WAYS, LAUNCHING, DOCKING"
144,"DRY DOCKING, SLIP DOCKING",14,SHIP GENERAL,"WORK ON WAYS, LAUNCHING, DOCKING"
144.001,Pilot expenses,14,SHIP GENERAL,"WORK ON WAYS, LAUNCHING, DOCKING"
144.005,Tug hire,14,SHIP GENERAL,"WORK ON WAYS, LAUNCHING, DOCKING"
144.010,Diver assistance,14,SHIP GENERAL,"WORK ON WAYS, LAUNCHING, DOCKING"
145,"SHIFTING, TOWING (EXCL. LAUNCHING)",14,SHIP GENERAL,"WORK ON WAYS, LAUNCHING, DOCKING"
145.001,Pilot expenses,14,SHIP GENERAL,"WORK ON WAYS, LAUNCHING, DOCKING"
145.005,Tug hire,14,SHIP GENERAL,"WORK ON WAYS, LAUNCHING, DOCKING"
146,"GAS FREEING, TANK CLEANING",14,SHIP GENERAL,"QUALITY CONTROL, MEASUREMENTS, TESTS, TRIALS"
147,"BERTHING, ANCHORAGE",15,SHIP GENERAL,"QUALITY CONTROL, MEASUREMENTS, TESTS, TRIALS"
151,MACHINERY TESTING,15,SHIP GENERAL,"QUALITY CONTROL, MEASUREMENTS, TESTS, TRIALS"
